Input.video_url,,Answer.category.label,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2975.546.mp4,3,Neither,,,1,Wipe Transition
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2978.528.mp4,3,Neither,,,2,Dissolve Transition
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_2998.858.mp4,3,Neither,,,3,Neither
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3010.073.mp4,1,Wipe Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3013.461.mp4,1,Wipe Transition,also has dissolve,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3015.562.mp4,2,Dissolve Transition,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3022.203.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3040.093.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3050.122.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3053.781.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3055.848.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3061.71.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3063.065.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3064.421.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3070.621.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3100.336.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3130.831.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3161.325.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3171.727.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3193.785.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3218.045.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3225.431.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3235.765.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3246.947.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3254.096.mp4,3,Neither,,,,
https://shorttrainingmaterials.s3.us-east-2.amazonaws.com/BALLY_PIIT%40TBR/BALLY_PIIT@TBR_3262.906.mp4,3,Neither,,,,
